Core Based Statistical Area,Pollutant,Trend Statistic,2000_x,2001_x,2002_x,2003_x,2004_x,2005_x,2006_x,2007_x,2008_x,2009_x,2010_x,2011_x,2012_x,2013_x,2014_x,2015_x,2016_x,2017_x,2018_x,2019_x,2020_x,2021,2022,State,2000_y,2001_y,2002_y,2003_y,2004_y,2005_y,2006_y,2007_y,2008_y,2009_y,2010_y,2011_y,2012_y,2013_y,2014_y,2015_y,2016_y,2017_y,2018_y,2019_y,2020_y
"Altoona, PA",SO2,99th Percentile,62.0,68.0,51.0,62.0,61.0,72.0,48.0,56.0,55.0,51.0,36.0,32.0,28.0,29.0,30.0,31.0,13.0,7.0,8.0,8.0,4.0,4.0,6.0,PA,1065.2,1054.8,1056.1,1048.7,1028.5,1040.4,1003.4,995.7,1010.6,985.1,980.9,1006.3,994.9,1010.8,1004.4,1035.7,1040.7,1059.4,1051.8,1046.6,1216.8
"Americus, GA",O3,4th Max,0.092,0.082,0.07,0.072,0.07,0.071,0.077,0.076,0.068,0.06,0.069,0.066,0.065,0.06,0.059,0.057,0.065,0.058,0.062,0.062,0.054,0.059,0.059,GA,780.2,769.8,769.2,771.0,750.6,747.7,740.6,730.8,732.7,724.6,735.6,725.9,734.3,751.5,761.5,782.6,789.8,796.8,809.9,808.2,962.4
"Anchorage, AK",CO,2nd Max,5.4,5.7,4.7,5.7,6.4,4.8,4.3,3.6,3.8,4.4,3.8,3.6,4.3,3.1,2.5,2.8,3.0,3.5,2.7,2.4,3.0,2.2,2.4,AK,464.8,469.3,471.7,490.4,462.8,475.0,496.7,509.0,508.3,517.7,524.9,532.6,534.8,543.7,560.3,584.5,605.7,596.2,603.8,630.6,707.1
"Anchorage, AK",PM2.5,Weighted Annual Mean,5.8,6.2,5.8,6.6,6.9,6.7,6.9,5.2,5.9,7.0,6.8,5.8,6.2,5.6,7.0,6.5,6.1,5.6,5.0,7.4,5.3,5.2,4.7,AK,464.8,469.3,471.7,490.4,462.8,475.0,496.7,509.0,508.3,517.7,524.9,532.6,534.8,543.7,560.3,584.5,605.7,596.2,603.8,630.6,707.1
"Anchorage, AK",PM2.5,98th Percentile,20.0,25.0,25.0,23.0,30.0,22.0,33.0,17.0,24.0,29.0,31.0,24.0,31.0,22.0,29.0,28.0,23.0,28.0,18.0,35.0,23.0,20.0,23.0,AK,464.8,469.3,471.7,490.4,462.8,475.0,496.7,509.0,508.3,517.7,524.9,532.6,534.8,543.7,560.3,584.5,605.7,596.2,603.8,630.6,707.1
"Ann Arbor, MI",O3,4th Max,0.057,0.062,0.061,0.063,0.048,0.053,0.042,0.049,0.046,0.048,0.05,0.073,0.084,0.066,0.069,0.064,0.072,0.069,0.071,0.059,0.07,0.065,0.067,MI,874.9,865.0,876.6,863.7,847.0,864.3,857.3,867.1,889.2,873.1,890.6,906.3,909.6,933.8,947.7,958.8,969.3,979.7,989.4,992.1,1175.0
"Ann Arbor, MI",PM2.5,Weighted Annual Mean,14.3,14.4,14.9,14.6,12.7,15.6,12.6,13.0,11.0,9.9,9.2,9.6,9.1,8.6,9.7,9.4,7.9,8.0,8.3,8.4,8.2,8.8,8.9,MI,874.9,865.0,876.6,863.7,847.0,864.3,857.3,867.1,889.2,873.1,890.6,906.3,909.6,933.8,947.7,958.8,969.3,979.7,989.4,992.1,1175.0
"Ann Arbor, MI",PM2.5,98th Percentile,30.0,40.0,31.0,39.0,32.0,52.0,31.0,35.0,28.0,28.0,23.0,24.0,23.0,19.0,25.0,26.0,18.0,19.0,21.0,22.0,20.0,18.0,26.0,MI,874.9,865.0,876.6,863.7,847.0,864.3,857.3,867.1,889.2,873.1,890.6,906.3,909.6,933.8,947.7,958.8,969.3,979.7,989.4,992.1,1175.0
"Appleton, WI",O3,4th Max,0.066,0.085,0.075,0.075,0.071,0.079,0.069,0.075,0.062,0.064,0.062,0.072,0.077,0.067,0.07,0.066,0.066,0.064,0.067,0.057,0.067,0.063,0.063,WI,866.2,862.4,862.8,842.8,827.0,842.2,827.5,824.1,829.9,806.0,831.9,847.5,844.9,871.1,873.5,888.3,896.7,909.0,923.4,930.7,1075.1
"Appleton, WI",PM2.5,Weighted Annual Mean,11.5,11.1,10.8,10.4,9.7,11.5,11.6,11.2,11.2,10.4,9.7,9.3,8.6,8.0,8.6,7.4,6.7,5.8,6.5,8.0,7.4,9.0,7.6,WI,866.2,862.4,862.8,842.8,827.0,842.2,827.5,824.1,829.9,806.0,831.9,847.5,844.9,871.1,873.5,888.3,896.7,909.0,923.4,930.7,1075.1
"Appleton, WI",PM2.5,98th Percentile,32.0,33.0,29.0,26.0,29.0,37.0,36.0,31.0,31.0,34.0,37.0,22.0,25.0,22.0,24.0,20.0,21.0,16.0,21.0,26.0,19.0,28.0,20.0,WI,866.2,862.4,862.8,842.8,827.0,842.2,827.5,824.1,829.9,806.0,831.9,847.5,844.9,871.1,873.5,888.3,896.7,909.0,923.4,930.7,1075.1
"Arkadelphia, AR",O3,4th Max,0.029,0.021,0.031,0.032,0.022,0.028,0.034,0.006,0.037,0.021,0.029,0.064,0.065,0.067,0.059,0.06,0.055,0.058,0.062,0.057,0.052,0.061,0.06,AR,1055.5,1031.3,1053.7,1024.6,1001.1,1008.8,988.8,989.6,1020.1,989.8,991.7,1009.3,1021.2,1028.5,1027.1,1061.6,1062.7,1084.7,1072.9,1089.8,1257.5
"Asheville, NC",O3,4th Max,0.086,0.079,0.089,0.077,0.071,0.08,0.071,0.075,0.075,0.064,0.072,0.066,0.067,0.062,0.064,0.065,0.064,0.061,0.064,0.061,0.057,0.062,0.062,NC,893.7,864.0,865.1,872.2,846.3,857.4,837.9,834.0,830.2,816.1,826.1,827.2,840.1,846.1,858.5,887.5,891.6,906.8,904.2,914.2,1032.5
"Asheville, NC",PM2.5,Weighted Annual Mean,15.4,13.5,13.8,12.6,12.3,13.1,12.4,12.2,9.0,8.4,10.2,9.2,8.6,8.1,7.9,7.0,8.6,7.0,6.5,6.1,4.9,6.7,5.8,NC,893.7,864.0,865.1,872.2,846.3,857.4,837.9,834.0,830.2,816.1,826.1,827.2,840.1,846.1,858.5,887.5,891.6,906.8,904.2,914.2,1032.5
"Asheville, NC",PM2.5,98th Percentile,34.0,31.0,31.0,31.0,27.0,32.0,31.0,28.0,23.0,18.0,20.0,19.0,16.0,16.0,14.0,14.0,60.0,16.0,19.0,14.0,12.0,19.0,12.0,NC,893.7,864.0,865.1,872.2,846.3,857.4,837.9,834.0,830.2,816.1,826.1,827.2,840.1,846.1,858.5,887.5,891.6,906.8,904.2,914.2,1032.5
"Ashtabula, OH",O3,4th Max,0.082,0.097,0.103,0.099,0.081,0.093,0.086,0.092,0.075,0.075,0.083,0.077,0.079,0.07,0.069,0.07,0.072,0.069,0.069,0.068,0.061,0.068,0.073,OH,952.4,948.7,962.2,954.2,928.1,951.1,930.4,926.3,953.2,929.5,942.3,965.2,974.5,978.8,987.6,1017.7,1029.5,1060.6,1063.0,1058.4,1228.9
"Ashtabula, OH",SO2,99th Percentile,50.0,56.0,55.0,44.0,36.0,39.0,40.0,31.0,36.0,34.0,20.0,19.0,53.0,29.0,17.0,37.0,7.0,5.0,5.0,3.0,6.0,8.0,8.0,OH,952.4,948.7,962.2,954.2,928.1,951.1,930.4,926.3,953.2,929.5,942.3,965.2,974.5,978.8,987.6,1017.7,1029.5,1060.6,1063.0,1058.4,1228.9
"Athens, OH",PM2.5,Weighted Annual Mean,12.4,12.4,12.7,12.3,11.4,13.3,11.8,13.0,11.1,9.1,8.9,8.7,8.7,8.1,7.8,7.6,6.2,6.3,6.7,6.4,6.1,6.2,5.5,OH,952.4,948.7,962.2,954.2,928.1,951.1,930.4,926.3,953.2,929.5,942.3,965.2,974.5,978.8,987.6,1017.7,1029.5,1060.6,1063.0,1058.4,1228.9
"Athens, OH",PM2.5,98th Percentile,32.0,32.0,33.0,29.0,33.0,33.0,30.0,37.0,27.0,18.0,18.0,19.0,16.0,16.0,18.0,18.0,11.0,12.0,14.0,13.0,17.0,17.0,13.0,OH,952.4,948.7,962.2,954.2,928.1,951.1,930.4,926.3,953.2,929.5,942.3,965.2,974.5,978.8,987.6,1017.7,1029.5,1060.6,1063.0,1058.4,1228.9
"Athens-Clarke County, GA",O3,4th Max,0.084,0.084,0.084,0.072,0.078,0.082,0.086,0.083,0.077,0.067,0.073,0.075,0.071,0.06,0.063,0.061,0.069,0.063,0.065,0.063,0.056,0.06,0.063,GA,780.2,769.8,769.2,771.0,750.6,747.7,740.6,730.8,732.7,724.6,735.6,725.9,734.3,751.5,761.5,782.6,789.8,796.8,809.9,808.2,962.4
"Atlanta-Sandy Springs-Roswell, GA",NO2,Annual Mean,18.0,17.0,15.0,13.0,15.0,14.0,15.0,15.0,13.0,11.0,14.0,13.0,12.0,9.0,11.0,10.0,11.0,9.0,8.0,9.0,8.0,8.0,8.0,GA,780.2,769.8,769.2,771.0,750.6,747.7,740.6,730.8,732.7,724.6,735.6,725.9,734.3,751.5,761.5,782.6,789.8,796.8,809.9,808.2,962.4
"Atlanta-Sandy Springs-Roswell, GA",NO2,98th Percentile,74.0,71.0,62.0,62.0,62.0,58.0,60.0,59.0,58.0,50.0,58.0,57.0,53.0,43.0,53.0,48.0,49.0,45.0,39.0,42.0,38.0,38.0,38.0,GA,780.2,769.8,769.2,771.0,750.6,747.7,740.6,730.8,732.7,724.6,735.6,725.9,734.3,751.5,761.5,782.6,789.8,796.8,809.9,808.2,962.4
"Atlanta-Sandy Springs-Roswell, GA",O3,4th Max,0.095,0.079,0.088,0.077,0.076,0.081,0.087,0.085,0.077,0.068,0.071,0.079,0.079,0.066,0.07,0.069,0.073,0.066,0.067,0.07,0.059,0.065,0.064,GA,780.2,769.8,769.2,771.0,750.6,747.7,740.6,730.8,732.7,724.6,735.6,725.9,734.3,751.5,761.5,782.6,789.8,796.8,809.9,808.2,962.4
"Atlanta-Sandy Springs-Roswell, GA",PM2.5,Weighted Annual Mean,18.8,17.1,15.3,15.8,16.2,16.1,16.3,15.1,13.1,11.4,12.6,11.8,10.3,9.4,10.1,9.0,9.1,9.1,8.4,9.1,8.2,9.3,8.4,GA,780.2,769.8,769.2,771.0,750.6,747.7,740.6,730.8,732.7,724.6,735.6,725.9,734.3,751.5,761.5,782.6,789.8,796.8,809.9,808.2,962.4
"Atlanta-Sandy Springs-Roswell, GA",PM2.5,98th Percentile,47.0,39.0,32.0,37.0,36.0,35.0,32.0,34.0,26.0,24.0,23.0,25.0,20.0,19.0,20.0,18.0,18.0,20.0,18.0,18.0,22.0,21.0,18.0,GA,780.2,769.8,769.2,771.0,750.6,747.7,740.6,730.8,732.7,724.6,735.6,725.9,734.3,751.5,761.5,782.6,789.8,796.8,809.9,808.2,962.4
"Atlanta-Sandy Springs-Roswell, GA",SO2,99th Percentile,50.0,54.0,56.0,53.0,56.0,60.0,62.0,58.0,45.0,31.0,33.0,25.0,10.0,9.0,6.0,4.0,6.0,7.0,4.0,5.0,3.0,4.0,4.0,GA,780.2,769.8,769.2,771.0,750.6,747.7,740.6,730.8,732.7,724.6,735.6,725.9,734.3,751.5,761.5,782.6,789.8,796.8,809.9,808.2,962.4
"Atlantic City-Hammonton, NJ",PM2.5,Weighted Annual Mean,11.6,11.6,11.6,12.0,10.6,11.8,12.4,10.2,10.6,9.0,9.2,9.3,8.2,8.6,8.1,7.7,7.2,6.9,6.3,6.5,6.4,6.2,6.1,NJ,889.0,879.7,865.3,856.7,826.6,831.8,812.3,802.8,803.9,779.8,790.4,799.9,795.7,802.3,797.9,806.8,817.9,831.1,850.5,844.5,1080.8
"Atlantic City-Hammonton, NJ",PM2.5,98th Percentile,42.0,42.0,42.0,30.0,30.0,25.0,35.0,27.0,27.0,20.0,21.0,28.0,20.0,22.0,20.0,16.0,15.0,18.0,15.0,17.0,15.0,14.0,12.0,NJ,889.0,879.7,865.3,856.7,826.6,831.8,812.3,802.8,803.9,779.8,790.4,799.9,795.7,802.3,797.9,806.8,817.9,831.1,850.5,844.5,1080.8
"Augusta-Waterville, ME",O3,4th Max,0.063,0.084,0.088,0.069,0.071,0.07,0.065,0.079,0.068,0.066,0.059,0.063,0.064,0.065,0.057,0.063,0.059,0.067,0.06,0.054,0.052,0.056,0.054,ME,969.0,966.1,979.5,959.8,947.2,975.7,928.8,941.4,942.6,947.2,959.8,978.9,968.3,1019.9,1015.7,1089.2,1065.1,1098.6,1099.4,1120.7,1165.8
"Austin-Round Rock, TX",O3,4th Max,0.088,0.079,0.086,0.083,0.081,0.081,0.083,0.073,0.072,0.073,0.072,0.074,0.075,0.07,0.063,0.073,0.063,0.069,0.071,0.064,0.064,0.066,0.07,TX,719.1,716.6,717.0,703.0,682.6,686.9,672.7,673.7,678.4,658.2,662.3,656.8,668.4,677.5,682.2,690.4,689.0,699.9,704.5,701.3,852.6
"Austin-Round Rock, TX",PM10,2nd Max,50.0,37.0,43.0,53.0,44.0,33.0,32.0,41.0,35.0,41.0,34.0,33.0,28.0,57.0,78.0,53.0,72.0,39.0,47.0,38.0,91.0,91.0,57.0,TX,719.1,716.6,717.0,703.0,682.6,686.9,672.7,673.7,678.4,658.2,662.3,656.8,668.4,677.5,682.2,690.4,689.0,699.9,704.5,701.3,852.6
"Bakersfield, CA",NO2,Annual Mean,18.0,18.0,17.0,17.0,16.0,15.0,16.0,14.0,13.0,12.0,11.0,11.0,12.0,11.0,10.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0,8.0,CA,677.7,678.8,672.6,679.0,653.6,661.6,658.3,644.7,641.4,629.7,628.2,636.6,637.6,647.9,633.8,662.2,668.1,678.3,679.6,682.9,812.4
"Bakersfield, CA",NO2,98th Percentile,61.0,69.0,64.0,62.0,56.0,55.0,60.0,56.0,53.0,46.0,47.0,44.0,46.0,46.0,44.0,40.0,38.0,41.0,39.0,40.0,35.0,36.0,35.0,CA,677.7,678.8,672.6,679.0,653.6,661.6,658.3,644.7,641.4,629.7,628.2,636.6,637.6,647.9,633.8,662.2,668.1,678.3,679.6,682.9,812.4
"Bakersfield, CA",O3,4th Max,0.099,0.099,0.103,0.098,0.09,0.094,0.1,0.087,0.098,0.087,0.092,0.089,0.086,0.08,0.081,0.085,0.081,0.084,0.091,0.079,0.089,0.081,0.079,CA,677.7,678.8,672.6,679.0,653.6,661.6,658.3,644.7,641.4,629.7,628.2,636.6,637.6,647.9,633.8,662.2,668.1,678.3,679.6,682.9,812.4
"Bakersfield, CA",PM10,2nd Max,133.0,186.0,94.0,110.0,79.0,94.0,147.0,106.0,122.0,90.0,81.0,69.0,88.0,110.0,103.5,97.0,81.0,106.0,116.0,94.0,131.0,131.0,131.0,CA,677.7,678.8,672.6,679.0,653.6,661.6,658.3,644.7,641.4,629.7,628.2,636.6,637.6,647.9,633.8,662.2,668.1,678.3,679.6,682.9,812.4
"Bakersfield, CA",PM2.5,Weighted Annual Mean,21.4,21.0,23.1,17.5,18.1,18.9,19.0,21.9,22.7,20.7,15.9,15.3,13.9,21.4,20.1,17.1,15.3,17.1,18.5,12.4,20.0,18.3,16.0,CA,677.7,678.8,672.6,679.0,653.6,661.6,658.3,644.7,641.4,629.7,628.2,636.6,637.6,647.9,633.8,662.2,668.1,678.3,679.6,682.9,812.4
"Bakersfield, CA",PM2.5,98th Percentile,85.0,93.0,70.0,48.0,55.0,65.0,63.0,73.0,68.0,66.0,55.0,54.0,49.0,84.0,78.0,57.0,49.0,71.0,65.0,45.0,80.0,56.0,47.0,CA,677.7,678.8,672.6,679.0,653.6,661.6,658.3,644.7,641.4,629.7,628.2,636.6,637.6,647.9,633.8,662.2,668.1,678.3,679.6,682.9,812.4
"Baltimore-Columbia-Towson, MD",CO,2nd Max,2.4,2.4,2.6,2.6,2.6,2.6,2.6,2.0,1.7,1.9,1.9,1.6,1.6,1.4,1.3,1.5,1.5,1.1,1.3,2.0,1.5,1.3,1.2,MD,826.1,815.7,808.2,809.6,779.4,784.9,774.5,774.0,772.1,765.1,750.4,750.6,755.8,770.6,767.5,786.6,811.5,824.9,836.8,840.3,992.0
"Baltimore-Columbia-Towson, MD",NO2,Annual Mean,23.0,23.0,25.0,26.0,23.0,22.0,21.0,19.0,19.0,18.0,18.0,18.0,16.0,15.0,16.0,16.0,15.0,14.0,13.0,12.0,12.0,12.0,12.0,MD,826.1,815.7,808.2,809.6,779.4,784.9,774.5,774.0,772.1,765.1,750.4,750.6,755.8,770.6,767.5,786.6,811.5,824.9,836.8,840.3,992.0
"Baltimore-Columbia-Towson, MD",NO2,98th Percentile,65.0,68.0,70.0,76.0,58.0,74.0,63.0,58.0,52.0,59.0,61.0,54.0,56.0,47.0,52.0,53.0,55.0,49.0,48.0,48.0,48.0,51.0,51.0,MD,826.1,815.7,808.2,809.6,779.4,784.9,774.5,774.0,772.1,765.1,750.4,750.6,755.8,770.6,767.5,786.6,811.5,824.9,836.8,840.3,992.0
"Baltimore-Columbia-Towson, MD",O3,4th Max,0.088,0.097,0.106,0.082,0.081,0.089,0.088,0.085,0.084,0.072,0.084,0.087,0.082,0.069,0.067,0.073,0.076,0.071,0.071,0.07,0.064,0.071,0.066,MD,826.1,815.7,808.2,809.6,779.4,784.9,774.5,774.0,772.1,765.1,750.4,750.6,755.8,770.6,767.5,786.6,811.5,824.9,836.8,840.3,992.0
"Baltimore-Columbia-Towson, MD",PM2.5,Weighted Annual Mean,15.6,15.5,14.6,14.5,14.5,15.0,13.3,13.4,12.2,10.4,10.7,10.6,10.2,9.3,9.6,9.2,7.7,7.9,7.8,7.7,6.6,8.1,6.9,MD,826.1,815.7,808.2,809.6,779.4,784.9,774.5,774.0,772.1,765.1,750.4,750.6,755.8,770.6,767.5,786.6,811.5,824.9,836.8,840.3,992.0
"Baltimore-Columbia-Towson, MD",PM2.5,98th Percentile,37.0,39.0,45.0,38.0,35.0,36.0,33.0,33.0,30.0,25.0,25.0,25.0,23.0,25.0,22.0,25.0,19.0,19.0,18.0,23.0,17.0,18.0,16.0,MD,826.1,815.7,808.2,809.6,779.4,784.9,774.5,774.0,772.1,765.1,750.4,750.6,755.8,770.6,767.5,786.6,811.5,824.9,836.8,840.3,992.0
"Bangor, ME",O3,4th Max,0.061,0.087,0.089,0.073,0.065,0.067,0.064,0.075,0.062,0.057,0.059,0.055,0.058,0.064,0.054,0.063,0.057,0.06,0.056,0.054,0.056,0.062,0.059,ME,969.0,966.1,979.5,959.8,947.2,975.7,928.8,941.4,942.6,947.2,959.8,978.9,968.3,1019.9,1015.7,1089.2,1065.1,1098.6,1099.4,1120.7,1165.8
"Baraboo, WI",O3,4th Max,0.073,0.074,0.073,0.074,0.065,0.076,0.064,0.07,0.061,0.062,0.06,0.065,0.073,0.063,0.064,0.063,0.066,0.061,0.067,0.061,0.065,0.065,0.06,WI,866.2,862.4,862.8,842.8,827.0,842.2,827.5,824.1,829.9,806.0,831.9,847.5,844.9,871.1,873.5,888.3,896.7,909.0,923.4,930.7,1075.1
"Barnstable Town, MA",O3,4th Max,0.083,0.105,0.093,0.089,0.083,0.088,0.082,0.082,0.075,0.071,0.078,0.068,0.079,0.071,0.059,0.071,0.065,0.072,0.071,0.06,0.063,0.069,0.06,MA,892.7,887.1,887.1,876.5,850.1,841.3,833.8,822.8,827.3,802.6,803.1,815.3,800.1,815.3,818.3,850.8,836.2,857.2,857.0,850.6,989.7
